id,x,y
1,639.4268,15.0065
2,275.0293,133.9264
3,736.4712,406.0197
4,892.1796,52.1633
5,421.9218,17.8783
6,218.638,303.2132
7,26.536,119.3026
8,649.8844,326.9649
9,220.4406,353.5594
10,809.4305,3.8993
11,805.8193,418.8836
12,340.2505,93.2877
13,957.2131,201.9567
14,92.7458,58.0298
15,847.4944,362.2356
16,807.1283,437.8391
17,536.2281,583.8695
18,378.5344,331.2244
19,829.4047,371.1119
20,861.7069,346.4113
21,704.5718,27.4946
22,227.8983,173.6328
23,79.792,139.6745
24,101.0014,166.7842
25,635.6844,218.8993
26,370.181,125.7042
27,266.9778,561.9928
28,648.0354,365.4786
29,171.1386,437.4761
30,163.4025,227.6733
31,989.5234,383.9999
32,556.9497,410.7686
33,842.8519,465.5999
34,229.0481,19.2601
35,315.453,160.6445
36,210.9828,565.7458
37,876.3676,188.8067
38,655.4387,237.3791
39,914.5476,275.3111
40,264.8802,147.9765
41,561.3681,157.645
42,584.586,538.6937
43,399.4005,131.5925
44,997.5376,305.7158
45,90.9094,28.2698
46,109.6491,376.4676
47,792.0794,253.296
48,63.5277,228.9716
49,996.1214,317.4686
50,971.0784,516.4678
51,11.481,432.4331
52,681.7104,322.1822
53,266.8252,384.5771
54,111.5522,260.8592
55,453.7237,572.2896
56,875.8529,158.0334
57,500.5861,107.1911
58,912.6278,522.3111
59,298.4448,383.3697
60,608.9702,91.7036
61,762.5108,323.6274
62,778.6265,318.2122
63,0.5719,194.4936
64,19.4767,557.4592
65,878.7219,498.9993
66,307.5141,34.7551
67,878.0096,568.1697
68,85.6535,291.5943
69,69.2125,456.3613
70,765.8344,77.0349
71,475.2824,329.8822
72,265.0566,523.4598
73,423.1379,127.0789
74,539.2961,437.9586
75,201.1511,187.0298
76,995.1494,389.9268
77,438.1001,310.5455
78,121.0042,134.8184
79,338.0856,352.9852
80,230.1147,132.1304
81,70.9931,378.6618
82,228.9418,543.252
83,859.6354,42.5144
84,238.0046,401.3867
85,214.2368,79.3871
86,935.5142,342.6259
87,472.671,470.7717
88,807.497,114.2459
89,96.9308,258.6307
90,423.5786,280.2148
91,729.0758,404.0187
92,984.1652,59.0507
93,402.6213,203.5816
94,861.6725,149.1938
95,190.2089,269.1681
96,421.8816,167.1271
97,249.8064,553.9594
98,443.1307,516.8095
99,550.3253,30.353
100,999.2825,501.6166
